"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
307,187.35,"Private room","False","True",2,"False",1,0,9,89,1,1.38665010427483,0.469599516220534,425.327696016874,16.4223938613112,832.628609112699,18.2900531058326,2.18574,41.3911
308,306.51,"Private room","False","True",2,"False",0,1,10,100,1,0.480756885147455,0.326226791184465,931.460001642744,35.9647470792211,1487.76520061258,32.6812029161618,2.17575,41.38686
309,211.79,"Private room","False","True",2,"False",0,0,10,94,1,2.53909215396752,0.32266016969114,329.70213143574,12.7301803058146,570.793814658199,12.5384223750185,2.14668,41.3725
310,237.16,"Private room","False","True",3,"True",1,0,10,95,2,0.967176040233335,0.420566169865994,571.805717290724,22.0780795359381,1279.96740729887,28.1165835487915,2.16964,41.37843
311,270.67,"Private room","False","True",2,"False",0,0,9,89,1,0.904373012349918,0.203877225853459,1061.38350622955,40.9812437337954,1789.2385524778,39.3035595770557,2.17421,41.37963
312,173.62,"Private room","False","True",2,"False",0,1,9,86,1,1.50096350128924,0.101638453381103,371.848377575355,14.3574955744,894.800233372902,19.6557548087884,2.16108,41.37541
313,661.67,"Private room","False","True",2,"True",0,1,10,100,1,0.831693142745967,0.539487127471983,529.431743258241,20.4419714302416,1029.26956908911,22.6095943291196,2.174,41.394
314,196.9,"Private room","False","True",2,"False",1,0,10,96,1,1.01736649908822,0.275489081165312,719.805076302665,27.7925058187242,1393.44282386713,30.6092572000748,2.17303,41.37826
315,180.37,"Private room","False","True",2,"False",0,0,10,88,1,2.73883733753443,1.11183473101354,252.305049525651,9.74178953148511,528.842374967478,11.6168901919878,2.20032,41.3965
316,468.73,"Entire home/apt","False","False",2,"False",0,1,9,86,0,1.12751830895202,0.310464621107743,777.3970910371,30.0162000622277,1658.30994066006,36.427497864774,2.18254,41.38338
317,144.53,"Private room","False","True",2,"False",1,0,9,92,1,2.15179795376121,0.463419268580414,554.690422507289,21.4172382255362,615.160119377274,13.5130010293434,2.18,41.405
318,150.58,"Private room","False","True",2,"False",1,0,9,92,1,0.217190034263431,0.209882249807677,678.962691516019,26.2155341437479,1530.00587954056,33.6090887134593,2.17236,41.3863
319,234.83,"Private room","False","True",4,"False",1,0,9,95,1,1.17499221794703,0.175587020826427,635.517803435817,24.5380768090971,1384.22745971855,30.4068266111875,2.17687,41.3779
320,99.61,"Private room","False","True",2,"False",0,0,8,88,1,2.24150006656025,0.0608297737035805,354.13466316903,13.6735485908114,713.979329223593,15.6837270603546,2.1529,41.40268
321,491.54,"Private room","False","True",3,"False",1,0,9,91,2,0.9409322104455,0.283315460876586,848.317333219734,32.7545125699008,1750.55169898583,38.4537393845693,2.17827,41.38138
322,195.5,"Private room","False","True",2,"False",0,0,10,94,1,1.19765324972368,0.166855800499502,377.892408209589,14.5908625818034,963.737956372196,21.1700849685411,2.15698,41.38266
323,142.43,"Private room","False","True",2,"False",1,0,8,85,1,2.55290608896934,0.588153966194999,450.636051842329,17.3995787266282,582.473906706442,12.7949947549552,2.17518,41.4098
